"id","chain","dept","category","company","brand","date","productsize","productmeasure","purchasequantity","purchaseamount"
86246,205,7,707,1078778070,12564,"2012-03-02",12,"OZ",1,7.59
86246,205,63,6319,107654575,17876,"2012-03-02",64,"OZ",1,1.59
86246,205,97,9753,1022027929,0,"2012-03-02",1,"CT",1,5.99
86246,205,25,2509,107996777,31373,"2012-03-02",16,"OZ",1,1.99
86246,205,55,5555,107684070,32094,"2012-03-02",16,"OZ",2,10.38
86246,205,97,9753,1021015020,0,"2012-03-02",1,"CT",1,7.8
86246,205,99,9909,104538848,15343,"2012-03-02",16,"OZ",1,2.49
86246,205,59,5907,102900020,2012,"2012-03-02",16,"OZ",1,1.39
86246,205,9,921,101128414,9209,"2012-03-02",4,"OZ",2,1.5
86246,205,73,7344,1068142161,20285,"2012-03-02",8,"CT",1,5.79
86246,205,41,4107,104113040,28204,"2012-03-02",14.5,"OZ",1,0.59
86246,205,21,2106,105100050,27873,"2012-03-02",64,"OZ",1,3.29
86246,205,8,814,102840020,18584,"2012-03-02",15.5,"OZ",1,3.29
86246,205,91,9122,108200080,2911,"2012-03-02",10,"OZ",1,1.99
86246,205,41,4120,101116616,15266,"2012-03-02",6,"OZ",1,0.89
86246,205,63,6315,107996777,31373,"2012-03-02",64,"OZ",1,3.59
86246,205,9,907,101410010,13791,"2012-03-02",24,"OZ",1,3.99
86246,205,97,9753,1021013323,0,"2012-03-02",1,"CT",1,8.87
86246,205,45,4509,1082650484,59628,"2012-03-02",16,"OZ",1,4.99
86246,205,26,2630,103700030,14647,"2012-03-02",56,"CT",1,1
86246,205,8,815,103900030,13296,"2012-03-02",8,"OZ",1,1.89
86246,205,81,8101,102820020,11186,"2012-03-02",1,"CT",1,4.77
86246,205,56,5615,101116616,15266,"2012-03-02",16,"OZ",1,6.29
86246,205,58,5824,108674585,55172,"2012-03-02",16,"OZ",1,3.29
86246,205,9,907,107225070,12465,"2012-03-02",20,"OZ",1,2.99
86246,205,97,9753,10000,0,"2012-03-02",1,"CT",1,0.69
86246,205,8,836,101116616,15266,"2012-03-02",64,"OZ",1,2.19
86246,205,19,1908,104530040,13915,"2012-03-02",13,"OZ",1,3.69
86246,205,9,904,1078735979,6734,"2012-03-02",5,"OZ",1,2.49
86246,205,64,6401,108066080,4098,"2012-03-02",144,"OZ",1,14.69
86246,205,32,3204,107040474,14245,"2012-03-02",8,"OZ",1,4.39
86246,205,56,5620,101116616,15266,"2012-03-02",8,"OZ",1,3.29
86246,205,30,3009,102100020,9886,"2012-03-02",8,"OZ",1,2.09
86246,205,97,9753,1021013424,0,"2012-03-02",1,"CT",4,14.64
86246,205,30,3009,104100040,19975,"2012-03-02",8,"OZ",1,1.79
86246,205,23,2301,101116616,15266,"2012-03-02",16,"OZ",2,2.59
86246,205,32,3202,101116616,15266,"2012-03-02",24,"OZ",1,3.19
86246,205,56,5620,102100020,9886,"2012-03-02",8,"OZ",1,4.59
86246,205,29,2928,104100040,9814,"2012-03-02",5.6,"OZ",1,1.49
86246,205,19,1905,105150050,16728,"2012-03-02",32,"OZ",1,2.69
86246,205,31,3101,105250050,15919,"2012-03-02",1.7,"OZ",1,2.99
86246,205,58,5823,107080070,16704,"2012-03-02",16,"OZ",1,4.59
86246,205,33,3309,102840020,18584,"2012-03-02",13,"OZ",1,3.99
86246,205,19,1905,105150050,16728,"2012-03-02",18,"OZ",1,4.19
86246,205,29,2908,103900030,13296,"2012-03-02",16,"OZ",1,1.59
86246,205,36,3630,107800070,5208,"2012-03-02",144,"OZ",1,4.99
86246,205,36,3626,104900040,17186,"2012-03-02",144,"OZ",1,5.79
86246,205,36,3612,108265787,4687,"2012-03-02",128,"OZ",1,1.39
86246,205,33,3319,102840020,15598,"2012-03-02",9,"OZ",1,3.99
86246,205,36,3630,104900040,23359,"2012-03-02",144,"OZ",1,5.79
86246,205,34,3410,107418272,16853,"2012-03-02",7.5,"OZ",1,2.19
86246,205,36,3611,108265787,4687,"2012-03-02",405.6,"OZ",1,6.29
86246,205,8,809,101300010,8164,"2012-03-03",12,"OZ",1,1.29
86246,205,71,7113,107940070,17521,"2012-03-03",12,"OZ",1,1
86246,205,60,6010,101116616,15266,"2012-03-03",30,"OZ",1,2.99
86246,205,81,8101,102820020,11186,"2012-03-03",1,"CT",2,9.54
86246,205,27,2702,102310020,13705,"2012-03-03",17,"LB",1,18.89
86246,205,81,8101,102610020,11320,"2012-03-03",1,"CT",1,3.59
86246,205,64,6408,101323212,40291,"2012-03-03",0.75,"LT",1,10.29
86246,205,36,3601,104900040,3809,"2012-03-04",20,"OZ",1,1.69
86246,205,56,5620,107592575,4368,"2012-03-04",8,"OZ",1,3.19
86246,205,41,4106,101116616,15266,"2012-03-04",6.5,"OZ",1,1.69
86246,205,63,6316,101116616,15266,"2012-03-04",8,"OZ",1,1.29
86246,205,33,3307,107641070,10160,"2012-03-04",1.5,"OZ",2,1
86246,205,23,2301,103340030,68309,"2012-03-04",12,"OZ",1,1.5
86246,205,44,4402,103100030,1358,"2012-03-04",7,"OZ",2,1.98
86246,205,26,2633,105400050,16048,"2012-03-04",12,"RL",1,8.39
86246,205,9,902,107641070,10160,"2012-03-04",2.25,"OZ",2,1.98
86246,205,56,5613,101116616,15266,"2012-03-04",15,"OZ",1,2.49
86246,205,8,811,104112949,3635,"2012-03-04",24,"OZ",1,3.19
86246,205,9,908,104980040,12592,"2012-03-04",8,"OZ",1,3.99
86246,205,64,6408,108289686,6276,"2012-03-05",0.75,"LT",1,8.29
86246,205,9,915,107312474,18613,"2012-03-05",12,"OZ",2,3.48
86246,205,63,6315,104138343,10091,"2012-03-05",64,"OZ",1,4.39
86246,205,16,1601,102200020,1827,"2012-03-05",15,"CT",1,1.29
86246,205,58,5899,107117474,22410,"2012-03-05",16,"OZ",5,13.05
86246,205,36,3611,108265787,4687,"2012-03-05",202.8,"OZ",1,4.49
86246,205,70,7002,1030813737,25162,"2012-03-06",30,"CT",1,2.39
86246,205,41,4105,101116616,15266,"2012-03-06",14.75,"OZ",6,8.34
86246,205,26,2634,103700030,3293,"2012-03-06",6,"RL",1,4.99
86246,205,41,4105,101116616,15266,"2012-03-06",14.5,"OZ",4,5.56
86246,205,73,7318,1030004535,10091,"2012-03-06",32,"CT",1,8.49
86246,205,41,4107,101116616,15266,"2012-03-06",14.5,"OZ",1,0.69
86246,205,56,5620,101116616,15266,"2012-03-06",8,"OZ",2,6.18
86246,205,41,4107,101116616,15266,"2012-03-06",13.5,"OZ",1,1.29
86246,205,75,7501,104589343,17521,"2012-03-06",18,"OZ",1,3.29
86246,205,37,3703,105100050,2820,"2012-03-06",10.75,"OZ",1,0.79
86246,205,26,2628,1077191373,13194,"2012-03-06",1,"RL",1,1
86246,205,29,2904,101600010,7860,"2012-03-06",7.2,"OZ",1,1.5
86246,205,72,7205,103500030,3830,"2012-03-06",4.6,"OZ",1,3.99
86246,205,33,3303,104166444,7179,"2012-03-06",16,"OZ",1,3.49
86246,205,63,6315,101116616,15266,"2012-03-06",128,"OZ",1,3.69
86246,205,29,2923,104100040,9814,"2012-03-06",4.3,"OZ",1,1.49
86246,205,21,2116,104300040,26420,"2012-03-06",40.5,"OZ",1,1.39
86246,205,97,9753,1022042424,0,"2012-03-06",1,"CT",3,34.99
